Compound  SmmetryNum  SymetGroup
Mo1N2  194  (P63/mmc)
Mo1O2  14  (P21/c)
Mo1P4  15  (C2/c)
Mo1S1  216  (F-43m)
Mo2S3  11  (P21/m)
Mo2S3  11  (P21/m)
Mo2S3  11  (P21/m)
Mo3N2  166  (R-3m)
Mo3P1  121  (I-42m)
Mo3S4  2  (P-1)
Mo3S4  148  (R-3)
Mo6S8  148  (R-3)
N1Na3  62  (Pnma)
N1Nb1  194  (P63/mmc)
N1Pa1  225  (Fm-3m)
N1Pd3  204  (Im-3)
N1Pr1  225  (Fm-3m)
N1Re1  131  (P42/mmc)
N1Re1  216  (F-43m)
N1Rh1  225  (Fm-3m)
N1Sc1  194  (P63/mmc)
N1Ta1  191  (P6/mmm)
N1Tb1  225  (Fm-3m)
N1Tm1  225  (Fm-3m)
N2Nb1  64  (Cmce)
N2Os1  191  (P6/mmm)
N2Os1  58  (Pnnm)
N2Os1  14  (P21/c)
N2Pd1  225  (Fm-3m)
N2Pd1  191  (P6/mmm)
N2Pt1  194  (P63/mmc)
N2Re1  71  (Immm)
N2Re1  65  (Cmmm)
N2Ru1  58  (Pnnm)
N2Ru1  205  (Pa-3)
N2Zn3  206  (Ia-3)
N3Na1  12  (C2/m)
N3Ta2  206  (Ia-3)
N5Ta3  62  (Pnma)
Nb1P1  141  (I41/amd)
Nb1P2  12  (C2/m)
Nb1P2  12  (C2/m)
Nb7P4  12  (C2/m)
Nd2O3  164  (P-3m1)
Nd2S3  62  (Pnma)
Ni1S2  58  (Pnnm)
Ni1S2  60  (Pbcn)
Ni1S2  62  (Pnma)
Ni1S2  205  (Pa-3)
Ni1U6  140  (I4/mcm)
Ni3P1  82  (I-4)
Ni3S2  63  (Cmcm)
Ni3W1  139  (I4/mmm)
Ni4W1  87  (I4/m)
Ni5U1  216  (F-43m)
Np2S3  62  (Pnma)
O1Pd1  123  (P4/mmm)
O1Ta4  47  (Pmmm)
O1Ti1  189  (P-62m)
O11V6  2  (P-1)
O13V6  12  (C2/m)
O13V7  2  (P-1)
O15V8  2  (P-1)
O15V8  2  (P-1)
O17V9  2  (P-1)
O17V9  2  (P-1)
O2Pb1  62  (Pnma)
O2Pb1  60  (Pbcn)
O2Re1  14  (P21/c)
O2Si1  125  (P4/nbm)
O2Si1  162  (P-31m)
O2Si1  15  (C2/c)
O2Tc1  14  (P21/c)
O2Zr1  194  (P63/mmc)
O3Pm2  206  (Ia-3)
O3Pr2  164  (P-3m1)
O3Pu2  206  (Ia-3)
O3Rb1  14  (P21/c)
O3Rh2  62  (Pnma)
O3Rh2  62  (Pnma)
O3Tm2  12  (C2/m)
O4Pb3  55  (Pbam)
O4Sn3  13  (P2/c)
O5Ti3  63  (Cmcm)
O5Ti3  12  (C2/m)
O5Ti3  15  (C2/c)
O5Ti3  13  (P2/c)
O5Ti3  12  (C2/m)
O5Ti4  87  (I4/m)
O5Ti5  12  (C2/m)
O6Rb4  122  (I-42d)
O7Tc2  61  (Pbca)
Os2U1  227  (Fd-3m)
Os2U1  194  (P63/mmc)
P1Pr1  225  (Fm-3m)
P1Sc3  62  (Pnma)
P1Ta1  141  (I41/amd)
P1Ta3  86  (P42/n)
P1Ta3  133  (P42/nbc)
P2Pt5  15  (C2/c)
P2Ta1  12  (C2/m)
P2Ti1  62  (Pnma)
P2Zn1  14  (P21/c)
P2Zr1  62  (Pnma)
P3Sr1  12  (C2/m)
P3Tc2  12  (C2/m)
P3Tc2  2  (P-1)
P4Ti7  12  (C2/m)
P4Zr7  12  (C2/m)
P4Zr7  12  (C2/m)
Pb1S1  221  (Pm-3m)
Pb1S1  194  (P63/mmc)
Pb1S1  225  (Fm-3m)
Pb1U1  141  (I41/amd)
Pd3U1  194  (P63/mmc)
Pd4S1  114  (P-421c)
Pr2S3  62  (Pnma)
Pt1Y2  62  (Pnma)
Pt2W1  71  (Immm)
Pt3U1  194  (P63/mmc)
Pt5U1  216  (F-43m)
Pu1S1  225  (Fm-3m)
Pu1S2  129  (P4/nmm)
Re2U1  63  (Cmcm)
Re2Y1  194  (P63/mmc)
Rh1V1  65  (Cmmm)
Rh1Y1  221  (Pm-3m)
S1Sn1  225  (Fm-3m)
S1Ta2  57  (Pbcm)
S1Ta6  15  (C2/c)
S1Ta6  2  (P-1)
S1Ti1  166  (R-3m)
S1Ti2  58  (Pnnm)
S1Zr2  58  (Pnnm)
S2Ta1  166  (R-3m)
S2Ti1  227  (Fd-3m)
S2Ti1  205  (Pa-3)
S2Ti1  58  (Pnnm)
S2Ti1  194  (P63/mmc)
S2Ti1  194  (P63/mmc)
S2Yb1  227  (Fd-3m)
S2Yb1  129  (P4/nmm)
S2Zr9  141  (I41/amd)
S3Ti8  12  (C2/m)
S3Tm2  11  (P21/m)
S3Tm2  11  (P21/m)
S3Tm2  11  (P21/m)
S3Tm2  62  (Pnma)
S3Yb2  167  (R-3c)
S3Yb2  62  (Pnma)
S4Yb3  62  (Pnma)
Sb1V3  223  (Pm-3n)
Sb2V3  166  (R-3m)
Se2U1  62  (Pnma)
Se3U2  62  (Pnma)
Se5U3  140  (I4/mcm)
Se5U3  62  (Pnma)
Si1U1  62  (Pnma)
Si1U3  140  (I4/mcm)
Si1V2  140  (I4/mcm)
Si2U1  141  (I41/amd)
Si3V1  82  (I-4)
Si3Y1  139  (I4/mmm)
Si4Y5  14  (P21/c)
Si5V6  72  (Ibam)
Si5V6  71  (Immm)
Sn3U1  221  (Pm-3m)
Te1U1  225  (Fm-3m)
Te2U1  71  (Immm)
Te3U1  63  (Cmcm)
Te3U2  62  (Pnma)
Te5U1  62  (Pnma)
Te5U3  62  (Pnma)
Tl5Y3  63  (Cmcm)
Ag1Eu1  62  (Pnma)
Ag1Ga1  221  (Pm-3m)
Ag1In1  221  (Pm-3m)
Ag1Li1  141  (I41/amd)
Ag1Li1  221  (Pm-3m)
Ag1Pr1  221  (Pm-3m)
Ag1Pr1  221  (Pm-3m)
Ag1Pr1  221  (Pm-3m)
Ag2Ca1  74  (Imma)
Ag2Ce1  74  (Imma)
Ag2Er1  139  (I4/mmm)
Ag2Gd1  139  (I4/mmm)
Ag2Nd1  74  (Imma)
Ag2Si1  63  (Cmcm)
Ag2Te1  14  (P21/c)
Ag2Yb1  74  (Imma)
Ag2Yb1  139  (I4/mmm)
Ag2Yb1  74  (Imma)
Ag2Zr1  139  (I4/mmm)
Ag3Sb1  59  (Pmmn)
Ag3Tm1  59  (Pmmn)
Ag5Eu1  191  (P6/mmm)
Al1Au1  221  (Pm-3m)
Al1Au1  11  (P21/m)
Al1Ce1  63  (Cmcm)
Al1Ce3  11  (P21/m)
Al1Co1  221  (Pm-3m)
Al1Co1  221  (Pm-3m)
Al1Cu1  12  (C2/m)
Al1Dy1  57  (Pbcm)
Al1Eu1  59  (Pmmn)
Al1Gd1  63  (Cmcm)
Al1Gd1  57  (Pbcm)
Al1Ir1  221  (Pm-3m)
Al1Ir1  221  (Pm-3m)
Al1La1  63  (Cmcm)
Al1Lu1  57  (Pbcm)
Al1Pr1  63  (Cmcm)
Al1Pr1  57  (Pbcm)
Al1Pt2  51  (Pmma)
